user_id,signup_date,country,company_size,plan_type,monthly_price,sessions_per_month,feature_usage_score,support_tickets,payment_failures,last_active_date,churned,churn_date,tenure_months,total_revenue,ltv_12m,industry,acquisition_channel,billing_period,seats_purchased,discount_pct,payment_method
U0000001,2024-11-23,IN,23,Starter,80.31,21,44,1,0,2025-12-31,0,NULL,14,1124.34,964,E-commerce,paid,monthly,5,2.30,card
U0000002,2024-02-26,US,13,Starter,67.73,14,25,3,0,2025-09-30,1,2025-09-30,20,1354.59,813,Media,marketplace,monthly,3,5.56,card
U0000003,2025-01-03,US,7,Starter,51.61,10,19,3,0,2025-12-31,0,NULL,12,619.30,619,E-commerce,organic,monthly,1,6.23,card
U0000004,2024-02-27,SG,5,Business,360.01,14,28,2,0,2025-12-31,0,NULL,23,8280.32,4320,Media,outbound,monthly,2,16.03,card
U0000005,2024-07-24,US,57,Business,729.28,32,28,5,0,2025-12-31,0,NULL,18,13127.10,8751,SaaS,organic,monthly,20,5.47,card
U0000006,2024-11-03,US,340,Business,1781.78,76,37,2,0,2025-12-31,0,NULL,14,24944.95,21381,Health,organic,annual,122,20.49,invoice
U0000007,2024-09-01,FR,34,Pro,264.40,41,51,2,0,2025-12-31,0,NULL,16,4230.33,3173,EdTech,marketplace,monthly,10,5.86,card
U0000008,2024-07-26,BR,88,Business,864.37,43,20,0,1,2025-01-31,1,2025-01-31,7,6050.57,6051,SaaS,organic,monthly,24,10.87,card
U0000009,2024-06-25,US,44,Pro,208.21,33,36,1,1,2025-12-31,0,NULL,19,3956.01,2499,SaaS,partner,annual,9,11.63,card
U0000010,2024-08-21,US,29,Starter,84.54,14,34,0,0,2025-06-30,1,2025-06-30,11,929.91,930,Logistics,marketplace,monthly,7,4.37,card
U0000011,2024-11-28,CA,5,Starter,55.25,20,33,0,1,2025-12-31,0,NULL,14,773.55,663,Media,paid,monthly,1,1.99,card
U0000012,2024-08-11,DE,23,Pro,187.16,21,25,1,1,2025-04-30,1,2025-04-30,9,1684.41,1684,E-commerce,organic,monthly,6,14.55,card
U0000013,2024-12-07,US,28,Starter,83.36,17,13,0,0,2025-04-30,1,2025-04-30,5,416.82,417,E-commerce,organic,monthly,7,10.30,card
U0000014,2024-10-25,US,18,Starter,63.95,18,41,2,0,2025-12-31,0,NULL,15,959.20,767,Media,organic,annual,4,5.61,card
